centroid_positions,cluster_mass,centroid_filepath
"[0.5328772068023682, 0.45916426181793213, 0.43867331743240356, 0.27566689252853394, 0.7513235807418823, 0.3574000597000122, 0.36288756132125854, 0.5935205817222595, 0.43424561619758606, 0.7122035622596741, 0.623528242111206, 0.3564721345901489, 0.35146868228912354, 0.4502999782562256, 0.7456132173538208, 0.26242440938949585, 0.3276377320289612, 0.419746994972229, 0.3832636773586273, 0.31037840247154236, 0.5567333698272705, 0.27374976873397827, 0.8741468787193298, 0.36311182379722595, 0.5419455766677856, 0.8675305843353271, 0.6621547937393188, 0.4355473220348358, 0.3823201060295105, 0.48190099000930786, 0.37098270654678345, 0.39294061064720154, 0.3384217619895935, 0.40748605132102966, 0.7593685388565063, 0.3410802185535431, 0.21161621809005737, 0.3859580159187317, 0.5654605031013489, 0.5009796619415283, 0.4216936528682709, 0.5923152565956116, 0.5946504473686218, 0.5299886465072632, 0.2802969217300415, 0.32241904735565186, 0.656540036201477, 0.2811909317970276, 0.393747478723526, 0.3449842035770416, 0.4063083529472351, 0.3533705174922943, 0.3607695400714874, 0.1801590770483017, 0.5799506306648254, 0.3060123026371002, 0.44431793689727783, 0.5155408382415771, 0.468833863735199, 0.19739213585853577, 0.615085244178772, 0.5906004905700684, 0.5495024919509888, 0.6818655729293823, 0.41808122396469116, 0.4350574016571045, 0.38521263003349304, 0.8183541297912598, 0.4057939946651459, 0.4714350700378418, 0.3588866889476776, 0.22258758544921875, 0.6648679375648499, 0.8047968149185181, 0.9996366500854492, 0.40338459610939026, 0.4126553237438202, 0.5723245143890381, 0.3205315172672272, 0.19323547184467316, 0.36605504155158997, 0.26917746663093567, 0.3809603154659271, 0.3994150757789612, 0.4748624265193939, 0.27400392293930054, 0.31184452772140503, 0.4456057846546173, 0.4269971251487732, 0.26726651191711426, 0.3147445619106293, 0.41850608587265015, 0.512063205242157, 0.47213566303253174, 0.22342081367969513, 0.5369701981544495, 0.4635571241378784, 0.3575769364833832, 0.5206652283668518, 0.7564473152160645, 0.3750740587711334, 0.6021660566329956, 0.3287007510662079, 0.4298802316188812, 0.5042113065719604, 0.42959898710250854, 0.3907705247402191, 0.4569815993309021, 0.5625646710395813, 0.485971599817276, 0.5303652882575989, 0.4650748074054718, 0.5364819169044495, 0.5399689078330994, 0.3575809895992279, 0.3873327374458313, 0.36054208874702454, 0.6177204847335815, 0.31479981541633606, 0.3619062304496765, 0.5383412837982178, 0.2795082926750183, 0.5575656294822693, 0.3573440611362457, 0.6611226797103882, 0.5748396515846252, 0.45581263303756714, 0.418450266122818]",0.39783382415771484,/media/andrius/FastBoi/bakis_data/top10000_meta_22k/!!! - Heart Of Hearts.mp3
"[0.25833621621131897, 0.442184180021286, 0.37168049812316895, 0.6206742525100708, 0.3619388937950134, 0.4857528507709503, 0.34523820877075195, 0.5977867841720581, 0.25284838676452637, 0.20994940400123596, 0.3421856760978699, 0.3588307797908783, 0.5528437495231628, 0.47448164224624634, 0.4627492427825928, 0.8047636151313782, 0.494390070438385, 0.6610537767410278, 0.4909813404083252, 0.3036804795265198, 0.476088285446167, 0.4335247576236725, 0.5864994525909424, 0.44141885638237, 0.5995767712593079, 0.3033711910247803, 0.4748307764530182, 0.36329182982444763, 0.3286174237728119, 0.35695919394493103, 0.44641929864883423, 0.40268513560295105, 0.8060852289199829, 0.29122647643089294, 0.15210175514221191, 0.3180253207683563, 0.3215940594673157, 0.3577418327331543, 0.7581252455711365, 0.5255968570709229, 0.2980198264122009, 0.47170719504356384, 0.5467352271080017, 0.5798875093460083, 0.37768834829330444, 0.39636290073394775, 0.43173453211784363, 0.17320699989795685, 0.3639507293701172, 0.3065771460533142, 0.5097713470458984, 0.7531530857086182, 0.2672446370124817, 0.4688875079154968, 0.2871958613395691, 0.3066011369228363, 0.40729784965515137, 0.4411333501338959, 0.30511242151260376, 0.40534159541130066, 0.5601004362106323, 0.4228135943412781, 0.40066006779670715, 0.4889772832393646, 0.5690716505050659, 0.4993242919445038, 0.4661667048931122, 0.512662947177887, 0.46973779797554016, 0.5783672332763672, 0.5894102454185486, 0.4767078161239624, 0.9276798963546753, 0.425616055727005, 0.6827094554901123, 0.4954470992088318, 0.21953432261943817, 0.6719142198562622, 0.5767837166786194, 0.6106024980545044, 0.37358516454696655, 0.4080387353897095, 0.41130757331848145, 0.3303762972354889, 0.25612083077430725, 0.6010147929191589, 0.3873567581176758, 0.19026325643062592, 0.2861630320549011, 0.31995689868927, 0.45542117953300476, 0.8994612097740173, 0.5307940244674683, 0.5961280465126038, 0.2692279815673828, 0.5201296806335449, 0.49121585488319397, 0.6221840977668762, 0.5718585848808289, 0.3790014088153839, 0.41378507018089294, 0.714241623878479, 0.2710649371147156, 0.8275504112243652, 0.5500528812408447, 0.6732946038246155, 0.2954027056694031, 0.36654818058013916, 0.5349803566932678, 0.3929726183414459, 0.47674989700317383, 0.649876058101654, 0.5820826888084412, 0.28237810730934143, 0.2688276171684265, 0.4094412624835968, 0.5718646049499512, 0.3872711658477783, 0.30168506503105164, 0.3096182346343994, 0.6090154051780701, 0.5820692181587219, 0.4528045356273651, 0.49477508664131165, 0.2859823703765869, 0.5046470165252686, 0.6066228151321411, 0.4475025236606598]",0.4004884660243988,/media/andrius/FastBoi/bakis_data/top10000_meta_22k/!!! - Me and Guiliani Down by the School Yard - A True Story.mp3
"[0.3451940715312958, 0.44205284118652344, 0.45636409521102905, 0.34926095604896545, 0.4002414047718048, 0.3720107674598694, 0.9495473504066467, 0.9381898045539856, 0.3930698037147522, 0.26318058371543884, 0.38768383860588074, 0.7900913953781128, 0.4257712960243225, 0.39655378460884094, 0.4775930345058441, 0.7100977301597595, 0.8279242515563965, 0.5877519845962524, 0.9193798303604126, 0.4340531527996063, 0.5494685173034668, 0.7117265462875366, 0.4830677807331085, 0.5045280456542969, 0.26225870847702026, 0.30213677883148193, 0.6337050199508667, 0.39715316891670227, 0.4663514494895935, 0.5189907550811768, 0.956067681312561, 0.4035364091396332, 0.356539785861969, 0.9067063331604004, 0.1917155683040619, 0.3186001479625702, 0.2557421028614044, 0.19805684685707092, 0.2536299228668213, 0.5889411568641663, 0.5819931030273438, 0.33845996856689453, 0.3459489643573761, 0.1660808026790619, 0.4501127004623413, 0.6886940598487854, 0.8481800556182861, 0.23830412328243256, 0.3118758201599121, 0.5749123692512512, 0.13738346099853516, 0.28310999274253845, 0.4494383633136749, 0.6118822693824768, 0.25812050700187683, 0.5897089838981628, 0.22501477599143982, 0.553845226764679, 0.3118465840816498, 0.3832298815250397, 0.256154328584671, 0.17610836029052734, 0.3970869481563568, 0.3203100860118866, 0.3290216624736786, 0.8124392032623291, 0.6569323539733887, 0.2704116106033325, 0.4227624535560608, 0.45178934931755066, 0.31495827436447144, 0.28255292773246765, 0.21913550794124603, 0.7133541703224182, 0.3448500335216522, 0.6641424894332886, 0.3065466582775116, 0.12274186313152313, 0.31895580887794495, 0.3530970811843872, 0.5329262018203735, 0.30895206332206726, 0.40627408027648926, 0.6423861384391785, 0.28135979175567627, 0.49274036288261414, 0.22873744368553162, 0.6971051692962646, 0.32932889461517334, 0.2684014141559601, 0.24456866085529327, 0.4715746343135834, 0.6085168719291687, 0.20279164612293243, 0.5043623447418213, 0.4945460855960846, 0.4080544114112854, 0.5879172682762146, 0.6596741676330566, 0.308792382478714, 0.7021326422691345, 0.44891196489334106, 0.3876466155052185, 0.3695301115512848, 0.5142590403556824, 0.4752712547779083, 0.47641661763191223, 0.35695886611938477, 0.41188788414001465, 0.35426270961761475, 0.5684701204299927, 0.36671239137649536, 0.45329776406288147, 0.4681251049041748, 0.4873708486557007, 0.5866426229476929, 0.600838303565979, 0.44976040720939636, 0.38515353202819824, 0.6914138793945312, 0.6184912323951721, 0.30979129672050476, 0.31954020261764526, 0.3609921336174011, 0.50994473695755, 0.29622820019721985, 0.5085257291793823, 0.4356288015842438]",0.43323978781700134,/media/andrius/FastBoi/bakis_data/top10000_meta_22k/& The Mysterians - 96 Tears.mp3
"[0.4698668122291565, 0.3613377809524536, 0.34656795859336853, 0.6645873188972473, 0.49833640456199646, 0.38959264755249023, 0.6429046392440796, 0.35463953018188477, 0.6920310854911804, 0.6266242265701294, 0.6213710904121399, 0.3242909908294678, 0.24282802641391754, 0.4193010926246643, 0.26468443870544434, 0.2796761989593506, 0.29502832889556885, 0.3489314913749695, 0.25031086802482605, 0.2937522530555725, 0.42461565136909485, 0.5526918768882751, 0.30667784810066223, 0.41307124495506287, 0.9922980666160583, 0.3993273675441742, 0.36378464102745056, 0.776833713054657, 0.4662467837333679, 0.24163855612277985, 0.23409658670425415, 0.25371992588043213, 0.6607280969619751, 0.7567431330680847, 0.2797621190547943, 0.3675896227359772, 0.2662147283554077, 0.2239544540643692, 0.6746963858604431, 0.35064950585365295, 0.3174332082271576, 0.6397314667701721, 0.2508394420146942, 0.4355335831642151, 0.2703436613082886, 0.8736840486526489, 0.8472283482551575, 0.5087977051734924, 0.16357648372650146, 0.5303528308868408, 0.5811247825622559, 0.08434376120567322, 0.9857845902442932, 0.38007792830467224, 0.7936343550682068, 0.3934350609779358, 0.3231956660747528, 0.2369071990251541, 0.4280149042606354, 0.49274033308029175, 0.4636552929878235, 0.7563620209693909, 0.4087602496147156, 0.5738369822502136, 0.3817221224308014, 0.32138362526893616, 0.3773748576641083, 0.8830839991569519, 0.5858126878738403, 0.331223726272583, 0.3753316402435303, 0.3453192412853241, 0.5824725031852722, 0.5662404894828796, 0.6425110697746277, 0.5527401566505432, 0.5025703310966492, 0.2242165505886078, 0.3753378689289093, 0.41118961572647095, 0.3084363043308258, 0.24946551024913788, 0.3387831151485443, 0.4130359888076782, 0.4296221137046814, 0.6098873019218445, 0.7623602747917175, 0.5593180060386658, 0.2005556970834732, 0.4993433952331543, 0.3335251808166504, 0.41165095567703247, 0.7174458503723145, 0.4983256459236145, 0.4506739675998688, 0.3720174729824066, 0.46416258811950684, 0.48598116636276245, 0.3593814969062805, 0.3584093749523163, 0.18512286245822906, 0.3597009479999542, 0.7132406830787659, 0.43514177203178406, 0.46694618463516235, 0.4172385334968567, 0.2140224426984787, 0.5157526731491089, 0.3401098847389221, 0.6914284825325012, 0.28654709458351135, 0.4363156855106354, 0.35475972294807434, 0.19793176651000977, 0.313167929649353, 0.33979177474975586, 0.30009666085243225, 0.3542920649051666, 0.5753970146179199, 0.5730370879173279, 0.3635413348674774, 0.7420210242271423, 0.7463057041168213, 0.20881135761737823, 0.3649284839630127, 0.2961600422859192, 0.2562059760093689, 0.42690804600715637]",0.4432446360588074,/media/andrius/FastBoi/bakis_data/top10000_meta_22k/'Til Tuesday - Voices Carry.mp3
"[0.3971390426158905, 0.41704869270324707, 0.417546808719635, 0.48943907022476196, 0.4320976138114929, 0.4191749393939972, 0.6745798587799072, 0.24508807063102722, 0.40508973598480225, 0.5256397128105164, 0.5268726348876953, 0.4281541705131531, 0.5442692041397095, 0.34431350231170654, 0.45983684062957764, 0.3329313397407532, 0.27688169479370117, 0.5050607919692993, 0.39944136142730713, 0.5780543684959412, 0.4696926772594452, 0.39754512906074524, 0.38884642720222473, 0.3508705794811249, 0.9385847449302673, 0.9228343367576599, 0.5501847267150879, 0.780617356300354, 0.46059441566467285, 0.5248830914497375, 0.39682164788246155, 0.43071284890174866, 0.4525763690471649, 0.3010368347167969, 0.280934602022171, 0.4123055636882782, 0.6009472012519836, 0.3686849772930145, 0.38095787167549133, 0.22187761962413788, 0.4655328094959259, 0.6048043966293335, 0.3179299533367157, 0.4569595754146576, 0.33013224601745605, 0.40740716457366943, 0.19525083899497986, 0.29379206895828247, 0.27679556608200073, 0.5436190366744995, 0.9838318228721619, 0.3810914158821106, 0.28562772274017334, 0.3496945798397064, 0.36158329248428345, 0.3999135494232178, 0.8813843131065369, 0.3936535716056824, 0.44188371300697327, 0.2064322531223297, 0.36091724038124084, 0.3543964624404907, 0.45037704706192017, 0.35652366280555725, 0.4224938452243805, 0.7104663252830505, 0.3083992600440979, 0.25119748711586, 0.3852507472038269, 0.2945440709590912, 0.16490411758422852, 0.21352434158325195, 0.46783018112182617, 0.3573174774646759, 0.5073865652084351, 0.5143327713012695, 0.34102097153663635, 0.3581286668777466, 0.2951277494430542, 0.18339772522449493, 0.4762580394744873, 0.28585085272789, 0.44073817133903503, 0.49634188413619995, 0.7815883159637451, 0.43833404779434204, 0.6705042123794556, 0.4803915321826935, 0.7560466527938843, 0.8075652718544006, 0.30827221274375916, 0.696437656879425, 0.2666347622871399, 0.23983076214790344, 0.5975733399391174, 0.6069239377975464, 0.4891723394393921, 0.2828548550605774, 0.4410899579524994, 0.39489978551864624, 0.8784453868865967, 0.6500563025474548, 0.288681298494339, 0.42251527309417725, 0.45000967383384705, 0.525351345539093, 0.5084770321846008, 0.37126296758651733, 0.4927992820739746, 0.3527500033378601, 0.47656309604644775, 0.3988071084022522, 0.5428522229194641, 0.30117952823638916, 0.4149883985519409, 0.5232972502708435, 0.5356652736663818, 0.7843896746635437, 0.2510907053947449, 0.3343571126461029, 0.5086833238601685, 0.998076319694519, 0.4228501319885254, 0.6419771313667297, 0.48550236225128174, 0.7157828211784363, 0.5828426480293274, 0.7298263907432556]",0.3928130865097046,"/media/andrius/FastBoi/bakis_data/top10000_meta_22k/10,000 Maniacs - Hey Jack Kerouac.mp3"
"[0.39639079570770264, 0.25017407536506653, 0.4998239278793335, 0.20959070324897766, 0.37378454208374023, 0.526087760925293, 0.33197638392448425, 0.42690733075141907, 0.6605677604675293, 0.37732937932014465, 0.6230948567390442, 0.4674089550971985, 0.5281468629837036, 0.4618529677391052, 0.28637510538101196, 0.36779630184173584, 0.29585012793540955, 0.28191158175468445, 0.4408918023109436, 0.3643836975097656, 0.23065173625946045, 0.32180753350257874, 0.4327501356601715, 0.39009976387023926, 0.27801138162612915, 0.3045237362384796, 0.5320404767990112, 0.4540107250213623, 0.3662593960762024, 0.3880244195461273, 0.23887790739536285, 0.3276325464248657, 0.2813684344291687, 0.38338202238082886, 0.4941461682319641, 0.47787898778915405, 0.20972807705402374, 0.48755496740341187, 0.21420349180698395, 0.43848392367362976, 0.3443916141986847, 0.5902560353279114, 0.8763179779052734, 0.5899521112442017, 0.5534442663192749, 0.33001330494880676, 0.13672426342964172, 0.19353331625461578, 0.2711755931377411, 0.22854027152061462, 0.6788791418075562, 0.33913204073905945, 0.21089237928390503, 0.7448213696479797, 0.6120742559432983, 0.5889118313789368, 0.17931000888347626, 0.7715117931365967, 0.2736232280731201, 0.9958289861679077, 0.5310501456260681, 0.5142818689346313, 0.3220730423927307, 0.5452870726585388, 0.5236647725105286, 0.9633181095123291, 0.6588498950004578, 0.15874341130256653, 0.36445412039756775, 0.7102633118629456, 0.19127488136291504, 0.515836238861084, 0.5730733871459961, 0.29717662930488586, 0.6038032174110413, 0.3142276108264923, 0.5263555645942688, 0.17895576357841492, 0.7794288396835327, 0.5850481390953064, 0.2856449782848358, 0.3406088054180145, 0.39802080392837524, 0.33161216974258423, 0.5988124012947083, 0.3795616030693054, 0.3988853394985199, 0.5292640328407288, 0.1924077570438385, 0.2828819155693054, 0.1833246797323227, 0.4722132086753845, 0.09014388918876648, 0.34932389855384827, 0.5765646696090698, 0.2728421092033386, 0.5011899471282959, 0.2231941968202591, 0.4857076108455658, 0.7375401258468628, 0.44882139563560486, 0.47981569170951843, 0.288478285074234, 0.2523192763328552, 0.6287835836410522, 0.47551429271698, 0.46382156014442444, 0.40644267201423645, 0.3533828556537628, 0.7006685137748718, 0.35181429982185364, 0.4558466672897339, 0.3170536756515503, 0.6584853529930115, 0.4927344024181366, 0.4428282082080841, 0.268423467874527, 0.5894267559051514, 0.5615271925926208, 0.43444663286209106, 0.47843489050865173, 0.5424116253852844, 0.5420872569084167, 0.44910722970962524, 0.5370813608169556, 0.34013018012046814, 0.3413528501987457, 0.5513699054718018]",0.4256705343723297,"/media/andrius/FastBoi/bakis_data/top10000_meta_22k/100 gecs, Dylan Brady, Laura Les - money machine.mp3"
"[0.6861783266067505, 0.8196640610694885, 0.373460978269577, 0.5609354972839355, 0.3482479453086853, 0.5989771485328674, 0.5482744574546814, 0.5285434126853943, 0.5882806181907654, 0.169303759932518, 0.5695341229438782, 0.6155615448951721, 0.31674617528915405, 0.4965486526489258, 0.18086875975131989, 0.42211076617240906, 0.5260398387908936, 0.9596755504608154, 0.6732901334762573, 0.8872529864311218, 0.2207590490579605, 0.6940508484840393, 0.3705512285232544, 0.8188332915306091, 0.3016015589237213, 0.33308273553848267, 0.24060474336147308, 0.5260700583457947, 0.6604110598564148, 0.45097896456718445, 0.4079241454601288, 0.3268008828163147, 0.7521353363990784, 0.5671509504318237, 0.8948284983634949, 0.5195317268371582, 0.6771379113197327, 0.21323132514953613, 0.7347487807273865, 0.2550324499607086, 0.6650792360305786, 0.16934683918952942, 0.28025370836257935, 0.5941460132598877, 0.39704638719558716, 0.5124596953392029, 0.1192631870508194, 0.2314850091934204, 0.21129253506660461, 0.45021507143974304, 0.5943704843521118, 0.4129598140716553, 0.5329264998435974, 0.306949257850647, 0.16238191723823547, 0.45996394753456116, 0.5741250514984131, 0.6266650557518005, 0.3777402937412262, 0.45181548595428467, 0.21797294914722443, 0.24185656011104584, 0.3672578036785126, 0.28949934244155884, 0.41289350390434265, 0.4256240725517273, 0.42180335521698, 0.5120755434036255, 0.42597270011901855, 0.3480311930179596, 0.3509156107902527, 0.3150084912776947, 0.22944152355194092, 0.31551194190979004, 0.2073942869901657, 0.3711213171482086, 0.18506309390068054, 0.4438219964504242, 0.39140841364860535, 0.47719261050224304, 0.4847070276737213, 0.35980889201164246, 0.74226975440979, 0.5106863975524902, 0.27240294218063354, 0.5990830063819885, 0.28377336263656616, 0.3970036804676056, 0.6691989898681641, 0.5223925709724426, 0.33075276017189026, 0.33830276131629944, 0.5966308116912842, 0.2844822108745575, 0.2262415587902069, 0.2904523015022278, 0.29188281297683716, 0.5443881750106812, 0.5788785219192505, 0.331467866897583, 0.5622544288635254, 0.7047772407531738, 0.5698428153991699, 0.37014240026474, 0.3268778622150421, 0.5977508425712585, 0.7151176333427429, 0.5602426528930664, 0.5705922842025757, 0.7663655281066895, 0.2256220132112503, 0.8914487361907959, 0.2690613567829132, 0.42792412638664246, 0.37863463163375854, 0.6373938918113708, 0.9439548850059509, 0.3800182044506073, 0.5612708926200867, 0.7646483778953552, 0.4446685016155243, 0.5233752727508545, 0.32140594720840454, 0.4529408812522888, 0.4755660593509674, 0.22206242382526398, 0.28103694319725037, 0.7719187140464783]",0.4706995189189911,/media/andrius/FastBoi/bakis_data/top10000_meta_22k/10cc - Dreadlock Holiday.mp3
"[0.6737030148506165, 0.42817622423171997, 0.5703974366188049, 0.5458782315254211, 0.3514549732208252, 0.5298546552658081, 0.4151763319969177, 0.48797744512557983, 0.5123540759086609, 0.4261283278465271, 0.20178118348121643, 0.4988270699977875, 0.6080377101898193, 0.5772770047187805, 0.39543262124061584, 0.349016010761261, 0.32468703389167786, 0.3530629873275757, 0.43784886598587036, 0.7550850510597229, 0.41102147102355957, 0.5406068563461304, 0.47608256340026855, 0.3841352164745331, 0.2668151557445526, 0.9616296887397766, 0.6190963387489319, 0.4599146544933319, 0.4746122360229492, 0.2978321313858032, 0.2188185304403305, 0.5841324329376221, 0.28258389234542847, 0.36096423864364624, 0.8893045783042908, 0.3863545358181, 0.5611616373062134, 0.663877010345459, 0.25025680661201477, 0.8777300119400024, 0.3002813458442688, 0.6326013207435608, 0.44004368782043457, 0.39252063632011414, 0.3929503858089447, 0.4687783718109131, 0.2560339868068695, 0.5492113828659058, 0.6782633066177368, 0.30400344729423523, 0.36991608142852783, 0.31579455733299255, 0.6460345983505249, 0.6653494834899902, 0.12521760165691376, 0.14484940469264984, 0.6232852339744568, 0.5586004853248596, 0.9699907302856445, 0.4893825650215149, 0.3564196228981018, 0.1874542236328125, 0.5748222470283508, 0.5230259299278259, 0.679986834526062, 0.334067702293396, 0.06964382529258728, 0.19131338596343994, 0.4015940725803375, 0.15156695246696472, 0.2471386194229126, 0.36071717739105225, 0.3820738196372986, 0.25925737619400024, 0.4534962773323059, 0.27292948961257935, 0.08390502631664276, 0.35368672013282776, 0.31587663292884827, 0.4142965078353882, 0.732363224029541, 0.22786301374435425, 0.30155283212661743, 0.19895164668560028, 0.6318188309669495, 0.6127214431762695, 0.29914146661758423, 0.48746928572654724, 0.33889180421829224, 0.6901488304138184, 0.3257916271686554, 0.4119012653827667, 0.5199002027511597, 0.34013813734054565, 0.441169798374176, 0.42421072721481323, 0.35181525349617004, 0.34338852763175964, 0.40027743577957153, 0.6243271231651306, 0.5504114627838135, 0.2711590826511383, 0.8545995354652405, 0.36369380354881287, 0.405261754989624, 0.696742832660675, 0.4195897579193115, 0.5111706852912903, 0.7768704891204834, 0.23570160567760468, 0.23527711629867554, 0.42960426211357117, 0.6398172378540039, 0.7590035200119019, 0.6108967661857605, 0.6004316806793213, 0.39615628123283386, 0.8527931571006775, 0.38472604751586914, 0.547777533531189, 0.389314204454422, 0.7489914298057556, 0.291817307472229, 0.9090771675109863, 0.5529338121414185, 0.41000649333000183, 0.7556365132331848, 0.702012300491333]",0.43937620520591736,/media/andrius/FastBoi/bakis_data/top10000_meta_22k/10cc - I'm Not In Love.mp3
"[0.390377938747406, 0.9183728694915771, 0.4639701843261719, 0.3737906217575073, 0.42772161960601807, 0.5143623352050781, 0.6536624431610107, 0.8247003555297852, 0.41595420241355896, 0.3741428852081299, 0.3980948328971863, 0.22073085606098175, 0.7278165817260742, 0.3207598030567169, 0.47234079241752625, 0.39485466480255127, 0.24007897078990936, 0.493723601102829, 0.3704885244369507, 0.2698153257369995, 0.48896950483322144, 0.457093745470047, 0.45768555998802185, 0.8396292924880981, 0.17472565174102783, 0.4733516275882721, 0.4247674345970154, 0.46696263551712036, 0.43717679381370544, 0.366836816072464, 0.5813302397727966, 0.5786416530609131, 0.7540130615234375, 0.5122617483139038, 0.15657979249954224, 0.5586788654327393, 0.637726902961731, 0.1686009019613266, 0.28142499923706055, 0.2923900783061981, 0.48579177260398865, 0.5329064726829529, 0.387426495552063, 0.7313441634178162, 0.5710015296936035, 0.38918647170066833, 0.07760436087846756, 0.3155992329120636, 0.4767709970474243, 0.27807092666625977, 0.725288987159729, 0.23716530203819275, 0.6354706287384033, 0.03864208981394768, 0.464171826839447, 0.2659265697002411, 0.3496810793876648, 0.10684750229120255, 0.5998721122741699, 0.4387788772583008, 0.5785288214683533, 0.4381818175315857, 0.43542101979255676, 0.33578166365623474, 0.36550256609916687, 0.6319422125816345, 0.33585527539253235, 0.5710228085517883, 0.5731481909751892, 0.17179815471172333, 0.9814516305923462, 0.13470648229122162, 0.4411252439022064, 0.8954750299453735, 0.35082849860191345, 0.3897034227848053, 0.40232524275779724, 0.6815688014030457, 0.29440972208976746, 0.5966915488243103, 0.3515332043170929, 0.6209142804145813, 0.3308618664741516, 0.4261714816093445, 0.6351014971733093, 0.67277592420578, 0.36881327629089355, 0.5783867239952087, 0.31147661805152893, 0.8847789168357849, 0.23114199936389923, 0.26514437794685364, 0.12770669162273407, 0.3164462447166443, 0.20059697329998016, 0.33603036403656006, 0.3628745377063751, 0.6581682562828064, 0.3677828907966614, 0.4098767638206482, 0.4426156282424927, 0.5711658000946045, 0.5486269593238831, 0.4837946593761444, 0.6351571679115295, 0.6216992139816284, 0.5293220281600952, 0.4637335538864136, 0.7308536171913147, 0.7512819170951843, 0.5621806383132935, 0.6646549105644226, 0.3527834415435791, 0.5515956878662109, 0.608854353427887, 0.4779776930809021, 0.4965561628341675, 0.4625037610530853, 0.4465155005455017, 0.32114773988723755, 0.30840474367141724, 0.3453715145587921, 0.2517049312591553, 0.42742979526519775, 0.5296359062194824, 0.2426450252532959, 0.6582433581352234, 0.47398149967193604]",0.4455571174621582,/media/andrius/FastBoi/bakis_data/top10000_meta_22k/10cc - Rubber Bullets.mp3
"[0.41572925448417664, 0.27934029698371887, 0.3665774166584015, 0.660331130027771, 0.3185572326183319, 0.7410387396812439, 0.6341660022735596, 0.7972670793533325, 0.7334697842597961, 0.44753149151802063, 0.26369020342826843, 0.8648383617401123, 0.7447170615196228, 0.20799410343170166, 0.3592621982097626, 0.43452978134155273, 0.3665093779563904, 0.46026381850242615, 0.3335030674934387, 0.923089325428009, 0.28265130519866943, 0.5179862380027771, 0.15706759691238403, 0.5561845898628235, 0.2663506269454956, 0.5907472968101501, 0.3039466440677643, 0.5506487488746643, 0.29093509912490845, 0.38696038722991943, 0.28135332465171814, 0.3324933350086212, 0.5053871870040894, 0.25213754177093506, 0.6643249988555908, 0.30047863721847534, 0.7906535267829895, 0.22584134340286255, 0.389906644821167, 0.3787080645561218, 0.6020408272743225, 0.3095517158508301, 0.279615581035614, 0.690803050994873, 0.3890622556209564, 0.4042980968952179, 0.356062650680542, 0.45034992694854736, 0.4574972093105316, 0.2574070394039154, 0.6834269762039185, 0.2945083677768707, 0.3512960970401764, 0.6520935893058777, 0.6214486956596375, 0.29397353529930115, 0.2256675809621811, 0.5635204315185547, 0.5947295427322388, 0.47928714752197266, 0.2693985402584076, 0.17748431861400604, 0.352935791015625, 0.6011196374893188, 0.5171219110488892, 0.7530204057693481, 0.5316817760467529, 0.45762500166893005, 0.3192126452922821, 0.6186272501945496, 0.2948099374771118, 0.3493032157421112, 0.5115366578102112, 0.23309491574764252, 0.19185839593410492, 0.3157983124256134, 0.44773462414741516, 0.24788029491901398, 0.25242000818252563, 0.5375032424926758, 0.3379959762096405, 0.32431232929229736, 0.3284151554107666, 0.16637413203716278, 0.8191454410552979, 0.6288686394691467, 0.17544437944889069, 0.40944916009902954, 0.9996651411056519, 0.5875315070152283, 0.6696920990943909, 0.2793481647968292, 0.49690020084381104, 0.26353833079338074, 0.21199193596839905, 0.5574925541877747, 0.3721421957015991, 0.27861475944519043, 0.3611482083797455, 0.5509889721870422, 0.6894469857215881, 0.4714704155921936, 0.7195537090301514, 0.6439887285232544, 0.39166441559791565, 0.4274570643901825, 0.48561936616897583, 0.4228895902633667, 0.9295939803123474, 0.46969074010849, 0.2998945116996765, 0.8420336842536926, 0.33261701464653015, 0.6915791034698486, 0.3026016056537628, 0.7586730718612671, 0.3418900966644287, 0.274852454662323, 0.6773151755332947, 0.44206178188323975, 0.3408348560333252, 0.40178337693214417, 0.3205851912498474, 0.5029445886611938, 0.4431450366973877, 0.6702004075050354, 0.689303994178772, 0.6240418553352356]",0.448749840259552,/media/andrius/FastBoi/bakis_data/top10000_meta_22k/10cc - The Things We Do For Love.mp3
