centroid_positions,cluster_mass,centroid_filepath,gravitational_constant
"[0.5226330757141113, 0.44511494040489197, 0.3577636778354645, 0.44296565651893616, 0.5396459698677063, 0.46859169006347656, 0.5492591857910156, 0.4725104570388794, 0.601080596446991, 0.49992871284484863, 0.40793290734291077, 0.4739093482494354, 0.37645697593688965, 0.47998127341270447, 0.43712905049324036, 0.513819694519043, 0.31372129917144775, 0.5604578852653503, 0.3062715232372284, 0.46846166253089905, 0.27229276299476624, 0.8276174068450928, 0.27695897221565247, 0.5701306462287903, 0.3575504720211029, 0.46749094128608704, 0.36982372403144836, 0.42079344391822815, 0.6283251643180847, 0.5745845437049866, 0.4148581326007843, 0.7314753532409668, 0.580331027507782, 0.18726561963558197, 0.3289361000061035, 0.594413697719574, 0.9903416633605957, 0.4409314692020416, 0.6691976189613342, 0.5057152509689331, 0.538600742816925, 0.7525250315666199, 0.47169533371925354, 0.528605580329895, 0.351220965385437, 0.5818052887916565, 0.37731626629829407, 0.39554983377456665, 0.3271383047103882, 0.49952322244644165, 0.6509202718734741, 0.6247261166572571, 0.6663010716438293, 0.6027966141700745, 0.4202406406402588, 0.3523837625980377, 0.35491716861724854, 0.8499587774276733, 0.5373842120170593, 0.3420185446739197, 0.5033668875694275, 0.5055971741676331, 0.5329241752624512, 0.6428907513618469, 0.4841853678226471, 0.6840934157371521, 0.3784777820110321, 0.42372286319732666, 0.4767110347747803, 0.4389248192310333, 0.4619060754776001, 0.406589537858963, 0.4326636493206024, 0.42254066467285156, 0.45054155588150024, 0.454721063375473, 0.5844925045967102, 0.5368456840515137, 0.4112926125526428, 0.35453975200653076, 0.36491358280181885, 0.3233948051929474, 0.3184286057949066, 0.30222266912460327, 0.41157689690589905, 0.3014242947101593, 0.4771099388599396, 0.3560749590396881, 0.5348823666572571, 0.7599790096282959, 0.30312713980674744, 0.5714123249053955, 0.707112729549408, 0.2521823048591614, 0.5188040733337402, 0.39711079001426697, 0.4409366250038147, 0.5881548523902893, 0.4816383123397827, 0.4802198112010956, 0.30361536145210266, 0.3968622088432312, 0.37566816806793213, 0.41065579652786255, 0.30509528517723083, 0.31337395310401917, 0.577924907207489, 0.34087562561035156, 0.573857843875885, 0.42931097745895386, 0.28640398383140564, 0.598699152469635, 0.3562564551830292, 0.5213728547096252, 0.33950918912887573, 0.395582914352417, 0.4343516528606415, 0.5657153725624084, 0.6610291600227356, 0.49968406558036804, 0.36206865310668945, 0.40544480085372925, 0.7846598029136658, 0.5616414546966553, 0.8086060285568237, 0.7733831405639648, 0.3618684411048889, 0.6517126560211182]",0.43528303503990173,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/!!! - Heart Of Hearts.mp3,3.3910393714904785
"[0.31457480788230896, 0.3287963271141052, 0.33868786692619324, 0.40149882435798645, 0.4486454427242279, 0.6324542760848999, 0.37363117933273315, 0.4877372086048126, 0.6465189456939697, 0.3507317900657654, 0.8188878297805786, 0.5365903973579407, 0.3024013638496399, 0.3105230927467346, 0.3532871603965759, 0.5107715129852295, 0.4421479105949402, 0.5705641508102417, 0.43770915269851685, 0.4475880265235901, 0.4555031657218933, 0.3175816535949707, 0.35990458726882935, 0.33279865980148315, 0.4262044429779053, 0.3880833685398102, 0.6508814096450806, 0.4723494052886963, 0.37122076749801636, 0.6402752995491028, 0.3956107795238495, 0.7634866833686829, 0.4440409541130066, 0.6712592244148254, 0.6316544413566589, 0.6435050964355469, 0.298109769821167, 0.41297945380210876, 0.2832441031932831, 0.5437293648719788, 0.25621843338012695, 0.4988572597503662, 0.3592323362827301, 0.615917444229126, 0.38026145100593567, 0.584915041923523, 0.41299548745155334, 0.7015194296836853, 0.28735288977622986, 0.4325180947780609, 0.5712646842002869, 0.9881747961044312, 0.4648151993751526, 0.6553654670715332, 0.49579742550849915, 0.42711758613586426, 0.3954212963581085, 0.31226876378059387, 0.6080067157745361, 0.5992720723152161, 0.6634807586669922, 0.4653855264186859, 0.6324372887611389, 0.5887833833694458, 0.48836684226989746, 0.3090096712112427, 0.5534488558769226, 0.5550075173377991, 0.4443320333957672, 0.7168065309524536, 0.46857672929763794, 0.7124419808387756, 0.3570573329925537, 0.6031674146652222, 0.6536637544631958, 0.4228496849536896, 0.4956035017967224, 0.6174985766410828, 0.7665079832077026, 0.4451245069503784, 0.543693482875824, 0.3119450807571411, 0.31533727049827576, 0.4183492362499237, 0.44553443789482117, 0.31933102011680603, 0.3872632086277008, 0.5410313010215759, 0.38668525218963623, 0.4538675546646118, 0.4519256353378296, 0.33982011675834656, 0.4398469030857086, 0.43031182885169983, 0.4185396730899811, 0.5383428335189819, 0.5107986330986023, 0.476743221282959, 0.5896509885787964, 0.4715861976146698, 0.5692618489265442, 0.5262746810913086, 0.3664313554763794, 0.3699973225593567, 0.36271101236343384, 0.5395588278770447, 0.5146703720092773, 0.737491250038147, 0.3346317410469055, 0.3556552827358246, 0.6293846368789673, 0.5083232522010803, 0.3842127323150635, 0.3441382348537445, 0.36097532510757446, 0.322145938873291, 0.6174185872077942, 0.28790074586868286, 0.39989593625068665, 0.5944271683692932, 0.4859200417995453, 0.4636940062046051, 0.4861592650413513, 0.3659314811229706, 0.43999573588371277, 0.6117446422576904, 0.3990953862667084, 0.5657389163970947]",0.4651038348674774,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/!!! - Me and Guiliani Down by the School Yard - A True Story.mp3,3.3910393714904785
"[0.45908960700035095, 0.5097213387489319, 0.3222607970237732, 0.41418221592903137, 0.42135438323020935, 0.4784800708293915, 0.4461943805217743, 0.3895615339279175, 0.4819013476371765, 0.43098828196525574, 0.8376768231391907, 0.4080601930618286, 0.9876825213432312, 0.42267873883247375, 0.40952548384666443, 0.59980708360672, 0.7688872814178467, 0.3633647859096527, 0.4948776960372925, 0.42501100897789, 0.35838520526885986, 0.3914518356323242, 0.306832879781723, 0.6050097942352295, 0.35774022340774536, 0.443106472492218, 0.605434238910675, 0.3504125475883484, 0.3752511441707611, 0.4719598889350891, 0.4992109537124634, 0.26309385895729065, 0.4821555018424988, 0.34272146224975586, 0.4222050905227661, 0.6011183857917786, 0.33212485909461975, 0.4568241834640503, 0.469543993473053, 0.4547831416130066, 0.4112319052219391, 0.48822158575057983, 0.5117772221565247, 0.4805888235569, 0.3353787064552307, 0.47037890553474426, 0.37483349442481995, 0.25935056805610657, 0.36969614028930664, 0.3801615536212921, 0.43922939896583557, 0.36610013246536255, 0.5895716547966003, 0.43300509452819824, 0.5746465921401978, 0.3681526780128479, 0.42768749594688416, 0.3825981616973877, 0.4454710781574249, 0.517129123210907, 0.48676109313964844, 0.6484231948852539, 0.547887921333313, 0.6533493399620056, 0.5346296429634094, 0.49803653359413147, 0.6959397196769714, 0.42681798338890076, 0.496936172246933, 0.8534913063049316, 0.5470051765441895, 0.24941273033618927, 0.44023701548576355, 0.3970562517642975, 0.446789026260376, 0.4795883595943451, 0.4799663722515106, 0.27688637375831604, 0.420419305562973, 0.40537768602371216, 0.49811866879463196, 0.4653905928134918, 0.3924533426761627, 0.493508905172348, 0.41160887479782104, 0.6588648557662964, 0.6548930406570435, 0.4047490060329437, 0.3738703727722168, 0.812899649143219, 0.41726839542388916, 0.9284303188323975, 0.31541046500205994, 0.645461916923523, 0.526390552520752, 0.4502843916416168, 0.5012344121932983, 0.3744873106479645, 0.5123756527900696, 0.6113467216491699, 0.6144105195999146, 0.43055278062820435, 0.4685375988483429, 0.7037544250488281, 0.35937970876693726, 0.3768814206123352, 0.502495288848877, 0.3958487808704376, 0.5875018835067749, 0.48280617594718933, 0.4381095767021179, 0.4793539047241211, 0.40575823187828064, 0.4080697298049927, 0.7095251083374023, 0.354027658700943, 0.5939232110977173, 0.37324875593185425, 0.4507019817829132, 0.3481687307357788, 0.8517726063728333, 0.3474173843860626, 0.517585039138794, 0.4540017545223236, 0.3894473612308502, 0.41250139474868774, 0.47928550839424133, 0.5149081349372864]",0.41265079379081726,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/& The Mysterians - 96 Tears.mp3,3.3910393714904785
"[0.3327220678329468, 0.32480746507644653, 0.443808913230896, 0.43839213252067566, 0.3186361491680145, 0.40767404437065125, 0.2593182623386383, 0.3980690538883209, 0.550528883934021, 0.5374231934547424, 0.34039944410324097, 0.36977511644363403, 0.3286546468734741, 0.651246964931488, 0.5224663019180298, 0.6107748746871948, 0.3633734881877899, 0.5314154624938965, 0.28859978914260864, 0.3556625247001648, 0.3316079080104828, 0.6873210668563843, 0.3808218240737915, 0.33650529384613037, 0.4072789251804352, 0.706164538860321, 0.5508526563644409, 0.30387619137763977, 0.430063396692276, 0.39391493797302246, 0.6572158336639404, 0.5929609537124634, 0.37035125494003296, 0.5107667446136475, 0.6031791567802429, 0.31733590364456177, 0.6582623720169067, 0.4977244734764099, 0.45732441544532776, 0.4058358371257782, 0.27410420775413513, 0.3236716687679291, 0.4694332480430603, 0.3914645314216614, 0.3154677450656891, 0.40444591641426086, 0.8247352838516235, 0.3309248089790344, 0.46976786851882935, 0.2732982039451599, 0.4527454674243927, 0.42704033851623535, 0.40878036618232727, 0.9584991931915283, 0.461602121591568, 0.510936975479126, 0.4236089587211609, 0.5842441320419312, 0.40655937790870667, 0.2620590627193451, 0.3999650478363037, 0.6078895926475525, 0.572150707244873, 0.9275857210159302, 0.4085301458835602, 0.38585972785949707, 0.34155187010765076, 0.5785201787948608, 0.42648956179618835, 0.6145371794700623, 0.4467083513736725, 0.5820732116699219, 0.3191293776035309, 0.5444633960723877, 0.41652947664260864, 0.4891189932823181, 0.42268311977386475, 0.5586022734642029, 0.39761489629745483, 0.4072881042957306, 0.48732516169548035, 0.36556801199913025, 0.5501119494438171, 0.6811650395393372, 0.3250226676464081, 0.5577186346054077, 0.4825567305088043, 0.38414832949638367, 0.43222638964653015, 0.6241195797920227, 0.3742777407169342, 0.5142362117767334, 0.8587436079978943, 0.4033040702342987, 0.270540714263916, 0.33819764852523804, 0.48969173431396484, 0.3743370771408081, 0.5200356245040894, 0.6934117078781128, 0.3650941252708435, 0.8816202878952026, 0.4047037959098816, 0.7026552557945251, 0.36712002754211426, 0.32334282994270325, 0.4730011522769928, 0.32178741693496704, 0.3051365911960602, 0.4055624306201935, 0.46267569065093994, 0.6322652697563171, 0.8274208903312683, 0.3353217542171478, 0.3345922529697418, 0.3303581476211548, 0.3308244049549103, 0.5053774118423462, 0.7561522126197815, 0.5103098154067993, 0.42293357849121094, 0.49023765325546265, 0.5818671584129333, 0.45731207728385925, 0.41906169056892395, 0.392333060503006, 0.5194554328918457, 0.4113105237483978]",0.4714384973049164,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/'Til Tuesday - Voices Carry.mp3,3.3910393714904785
"[0.268159955739975, 0.48318880796432495, 0.5080401301383972, 0.5348210334777832, 0.7260716557502747, 0.7415735125541687, 0.23247279226779938, 0.31619423627853394, 0.4723958373069763, 0.4386095702648163, 0.39553362131118774, 0.33658266067504883, 0.42451098561286926, 0.28426867723464966, 0.3971219062805176, 0.38629019260406494, 0.4611573815345764, 0.3885858356952667, 0.39536985754966736, 0.33062633872032166, 0.3839882016181946, 0.5126698017120361, 0.551112711429596, 0.32477426528930664, 0.46417081356048584, 0.4628749489784241, 0.6982091665267944, 0.37642258405685425, 0.46169450879096985, 0.4863760769367218, 0.4731786251068115, 0.7101239562034607, 0.46852537989616394, 0.836868405342102, 0.3850073516368866, 0.3915846347808838, 0.5709074139595032, 0.36788567900657654, 0.8259137272834778, 0.3835326135158539, 0.4027632474899292, 0.7218477129936218, 0.43309667706489563, 0.500674307346344, 0.36403313279151917, 0.49845266342163086, 0.43149566650390625, 0.5125350952148438, 0.5207342505455017, 0.4179996848106384, 0.46071353554725647, 0.43058204650878906, 0.6418346166610718, 0.47013017535209656, 0.5841125249862671, 0.3342348039150238, 0.5026094317436218, 0.3929870128631592, 0.4180019497871399, 0.3667680025100708, 0.40810883045196533, 0.37333327531814575, 0.36373382806777954, 0.5298128724098206, 0.34675905108451843, 0.8584203124046326, 0.3671686351299286, 0.42802053689956665, 0.4813765287399292, 0.3074236214160919, 0.7497366070747375, 0.42390990257263184, 0.7616570591926575, 0.3975938558578491, 0.47156476974487305, 0.44427353143692017, 0.43129104375839233, 0.5348379015922546, 0.37915629148483276, 0.35576003789901733, 0.46934258937835693, 0.2752949595451355, 0.3192714750766754, 0.5210814476013184, 0.4906642735004425, 0.295046865940094, 0.5203843116760254, 0.5255206227302551, 0.5259854197502136, 0.48178794980049133, 0.8850009441375732, 0.45495152473449707, 0.5785578489303589, 0.6925126910209656, 0.3214809000492096, 0.45240306854248047, 0.4554159641265869, 0.4618168771266937, 0.3027442693710327, 0.41090622544288635, 0.43128037452697754, 0.7381241321563721, 0.8404269814491272, 0.6620784401893616, 0.3276951014995575, 0.45762670040130615, 0.7391224503517151, 0.520113468170166, 0.36866968870162964, 0.9023745059967041, 0.3724997043609619, 0.6737958788871765, 0.8462448716163635, 0.3693288564682007, 0.5917021036148071, 0.3297608494758606, 0.4607275724411011, 0.8946197628974915, 0.7507246732711792, 0.5647953748703003, 0.4180491864681244, 0.5293993949890137, 0.33084970712661743, 0.44555020332336426, 0.22461342811584473, 0.3794020116329193, 0.3529866337776184, 0.3854418694972992]",0.43912649154663086,"/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/10,000 Maniacs - Hey Jack Kerouac.mp3",3.3910393714904785
"[0.33412718772888184, 0.43485012650489807, 0.44380953907966614, 0.7210765480995178, 0.3775876760482788, 0.3616301417350769, 0.3447778522968292, 0.604142427444458, 0.4881821274757385, 0.46789535880088806, 0.5581299066543579, 0.4310401678085327, 0.3721158802509308, 0.6477085947990417, 0.29811421036720276, 0.4942113161087036, 0.6294452548027039, 0.4897446632385254, 0.4029342830181122, 0.6171853542327881, 0.9592100977897644, 0.5693567991256714, 0.30391204357147217, 0.6014653444290161, 0.40008270740509033, 0.3225851058959961, 0.22446823120117188, 0.7558626532554626, 0.6770232915878296, 0.42315372824668884, 0.4408808648586273, 0.5266236066818237, 0.5119963884353638, 0.5374118685722351, 0.5027052760124207, 0.32554492354393005, 0.5198453068733215, 0.4631543755531311, 0.597878634929657, 0.406794011592865, 0.8663359880447388, 0.3690139949321747, 0.4362070560455322, 0.4222506582736969, 0.3305768668651581, 0.4118252098560333, 0.363314151763916, 0.4853593707084656, 0.3617757558822632, 0.41964685916900635, 0.3269403278827667, 0.36993953585624695, 0.5203428268432617, 0.3660258650779724, 0.8831081390380859, 0.36160871386528015, 0.38930854201316833, 0.37143707275390625, 0.48306629061698914, 0.34821027517318726, 0.5831165909767151, 0.6253345608711243, 0.3832722008228302, 0.39544323086738586, 0.3419211208820343, 0.6462171077728271, 0.41778647899627686, 0.4207633435726166, 0.9281578063964844, 0.5798949599266052, 0.3924085199832916, 0.5154339075088501, 0.459091454744339, 0.5125026702880859, 0.4898633062839508, 0.3650698959827423, 0.521594226360321, 0.31220704317092896, 0.2804435193538666, 0.1911187469959259, 0.3664468228816986, 0.35922756791114807, 0.3314571678638458, 0.627858579158783, 0.33902841806411743, 0.31670477986335754, 0.4708098769187927, 0.8063955903053284, 0.3090813159942627, 0.2852584719657898, 0.511103093624115, 0.2657758295536041, 0.7220214009284973, 0.37922972440719604, 0.44563233852386475, 0.3855496346950531, 0.3984988331794739, 0.6169852614402771, 0.32067275047302246, 0.22618700563907623, 0.3002161979675293, 0.6077734231948853, 0.5471647381782532, 0.30027076601982117, 0.3584209084510803, 0.3695591390132904, 0.5039392709732056, 0.8993735909461975, 0.9254831075668335, 0.22427360713481903, 0.3995624780654907, 0.5903071761131287, 0.3918965458869934, 0.3528934419155121, 0.35506531596183777, 0.6655662655830383, 0.4113283157348633, 0.6685675382614136, 0.45977872610092163, 0.4519713521003723, 0.32749903202056885, 0.5568901896476746, 0.4702903926372528, 0.5795960426330566, 0.39733368158340454, 0.6363201141357422, 0.8080382943153381, 0.7510671615600586]",0.4631715416908264,"/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/100 gecs, Dylan Brady, Laura Les - money machine.mp3",3.3910393714904785
"[0.8565785884857178, 0.6533869504928589, 0.6453084349632263, 0.2780722677707672, 0.3812505602836609, 0.7193554639816284, 0.4204758107662201, 0.44710573554039, 0.28432390093803406, 0.7667168378829956, 0.5095087885856628, 0.4750082194805145, 0.42489221692085266, 0.30306941270828247, 0.5526590943336487, 0.36324870586395264, 0.7762856483459473, 0.43782129883766174, 0.7147462368011475, 0.4422186315059662, 0.6921265125274658, 0.38563722372055054, 0.7559463381767273, 0.3391243815422058, 0.5209962129592896, 0.4346584379673004, 0.3762424886226654, 0.5023139119148254, 0.2909126877784729, 0.38373517990112305, 0.3758229613304138, 0.4382929801940918, 0.336734414100647, 0.41048213839530945, 0.5191248655319214, 0.2827479839324951, 0.5346144437789917, 0.7013218998908997, 0.31101635098457336, 0.5107778310775757, 0.7064492702484131, 0.33372288942337036, 0.1797410547733307, 0.5579521059989929, 0.3501180112361908, 0.5675796866416931, 0.6842697858810425, 0.6057565808296204, 0.7368434071540833, 0.5883975028991699, 0.4680190086364746, 0.39730095863342285, 0.6618831157684326, 0.3219081461429596, 0.8338779807090759, 0.3888826072216034, 0.44030678272247314, 0.38272055983543396, 0.47558435797691345, 0.29400473833084106, 0.4705328345298767, 0.5190101861953735, 0.6313791871070862, 0.3513847887516022, 0.7417643070220947, 0.4166963994503021, 0.37023019790649414, 0.39507099986076355, 0.42307180166244507, 0.7289501428604126, 0.4487976133823395, 0.27961960434913635, 0.7766098380088806, 0.37179329991340637, 0.3701077103614807, 0.5197662115097046, 0.37774714827537537, 0.4429837167263031, 0.3162328898906708, 0.2237313836812973, 0.5237164497375488, 0.6469000577926636, 0.2430749237537384, 0.4732833206653595, 0.3695875406265259, 0.7760995626449585, 0.5392850041389465, 0.32053089141845703, 0.6342927813529968, 0.4796781539916992, 0.5249432921409607, 0.3571637272834778, 0.3302024304866791, 0.8010028004646301, 0.24848248064517975, 0.4679601490497589, 0.7023570537567139, 0.3783499002456665, 0.4705941677093506, 0.5774317979812622, 0.6360730528831482, 0.3579820394515991, 0.6579714417457581, 0.8437398076057434, 0.3292458951473236, 0.46632030606269836, 0.6157693862915039, 0.43058228492736816, 0.5336794257164001, 0.7731433510780334, 0.46895766258239746, 0.25343698263168335, 0.4319758415222168, 0.5073277354240417, 0.5321328043937683, 0.6488919258117676, 0.3285958170890808, 0.459881991147995, 0.5222073197364807, 0.2819835841655731, 0.7869066596031189, 0.9426569938659668, 0.5938349962234497, 0.6639240384101868, 0.3208353817462921, 0.42156511545181274, 0.4779784381389618, 0.3486121594905853]",0.49445047974586487,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/10cc - Dreadlock Holiday.mp3,3.3910393714904785
"[0.6555311679840088, 0.7337686419487, 0.73561030626297, 0.5265793204307556, 0.6650377511978149, 0.5052111744880676, 0.8694734573364258, 0.4401152729988098, 0.4915478825569153, 0.8442733883857727, 0.3285229206085205, 0.3337925672531128, 0.3294874429702759, 0.4343595504760742, 0.5288446545600891, 0.5412922501564026, 0.5059627294540405, 0.6023273468017578, 0.6095906496047974, 0.4386456608772278, 0.5025292634963989, 0.49329742789268494, 0.3912087678909302, 0.4672272503376007, 0.5453237295150757, 0.5402788519859314, 0.40260109305381775, 0.45413798093795776, 0.48730912804603577, 0.6161617636680603, 0.7146543264389038, 0.32051727175712585, 0.6764824390411377, 0.5731236338615417, 0.3732473850250244, 0.43247249722480774, 0.29158884286880493, 0.4979761242866516, 0.37529024481773376, 0.353076696395874, 0.4508214592933655, 0.600188136100769, 0.38245415687561035, 0.3888396918773651, 0.5130370855331421, 0.5480144619941711, 0.6884909868240356, 0.475558340549469, 0.3889425992965698, 0.5971695780754089, 0.3697574734687805, 0.5139776468276978, 0.32296621799468994, 0.27314093708992004, 0.17134377360343933, 0.2944619357585907, 0.2851673364639282, 0.3552905321121216, 0.5192459225654602, 0.38909968733787537, 0.5378168821334839, 0.24942167103290558, 0.28751614689826965, 0.22274768352508545, 0.24188028275966644, 0.6821686029434204, 0.26260098814964294, 0.46492597460746765, 0.6204634308815002, 0.6084375977516174, 0.44161760807037354, 0.43740198016166687, 0.4416540265083313, 0.5414084196090698, 0.3711143434047699, 0.5808515548706055, 0.4779983162879944, 0.42562752962112427, 0.35145628452301025, 0.7979758977890015, 0.46926718950271606, 0.8089220523834229, 0.3375539481639862, 0.5615740418434143, 0.3852904140949249, 0.3080849051475525, 0.7865331768989563, 0.9044596552848816, 0.5916023850440979, 0.19495941698551178, 0.42550167441368103, 0.3647504448890686, 0.40531301498413086, 0.4916740357875824, 0.4703964591026306, 0.48398393392562866, 0.4299064576625824, 0.4368359446525574, 0.6367579102516174, 0.36665695905685425, 0.8034586310386658, 0.30337169766426086, 0.42976149916648865, 0.7516731023788452, 0.4538009762763977, 0.3489137887954712, 0.7574116587638855, 0.37826070189476013, 0.2584168612957001, 0.7059287428855896, 0.48922690749168396, 0.2819031774997711, 0.35458213090896606, 0.2541506588459015, 0.5369830131530762, 0.5624735355377197, 0.7615439891815186, 0.9559516310691833, 0.4585062563419342, 0.4566923677921295, 0.3871685266494751, 0.7143194079399109, 0.5091769695281982, 0.3629330098628998, 0.7765193581581116, 0.7123465538024902, 0.575675904750824, 0.8530108332633972]",0.5361254215240479,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/10cc - I'm Not In Love.mp3,3.3910393714904785
"[0.5288247466087341, 0.36051586270332336, 0.24853703379631042, 0.3317323327064514, 0.540522575378418, 0.7135356664657593, 0.6882513165473938, 0.5559084415435791, 0.3222571313381195, 0.4657323658466339, 0.3958868086338043, 0.4724026024341583, 0.6503152251243591, 0.3755812644958496, 0.32828715443611145, 0.3395817279815674, 0.3582713305950165, 0.3252005875110626, 0.48089703917503357, 0.414692759513855, 0.4679458439350128, 0.4967169463634491, 0.48685187101364136, 0.5227518677711487, 0.4994579255580902, 0.2594424784183502, 0.8087468147277832, 0.5153788924217224, 0.33058157563209534, 0.6807734370231628, 0.4223787486553192, 0.22801156342029572, 0.5357734560966492, 0.4650792181491852, 0.5050128102302551, 0.5751099586486816, 0.47420966625213623, 0.6373090147972107, 0.5255327224731445, 0.6447703242301941, 0.30152907967567444, 0.537943422794342, 0.47529569268226624, 0.3501899242401123, 0.4320778250694275, 0.394830584526062, 0.5069503784179688, 0.5483835339546204, 0.6011119484901428, 0.3855600953102112, 0.41816261410713196, 0.38203802704811096, 0.48998162150382996, 0.885878324508667, 0.5088499188423157, 0.9323934316635132, 0.39418911933898926, 0.46423667669296265, 0.6046343445777893, 0.6144666075706482, 0.5050817728042603, 0.5112954378128052, 0.46081021428108215, 0.3398666977882385, 0.5220407843589783, 0.8418676257133484, 0.27151450514793396, 0.7712295055389404, 0.37007570266723633, 0.7104641199111938, 0.666581392288208, 0.3348655104637146, 0.639808714389801, 0.4651504456996918, 0.28689923882484436, 0.4445066452026367, 0.3857748806476593, 0.4480121433734894, 0.38028109073638916, 0.704641580581665, 0.5461151599884033, 0.3323683738708496, 0.38075873255729675, 0.40564393997192383, 0.3565051257610321, 0.7681992053985596, 0.4061543047428131, 0.3277563452720642, 0.6913401484489441, 0.6087661981582642, 0.326932430267334, 0.4747712016105652, 0.26715177297592163, 0.3772629201412201, 0.39602145552635193, 0.31014204025268555, 0.5553671717643738, 0.3653213381767273, 0.4163830876350403, 0.7441223859786987, 0.3520151674747467, 0.3303910791873932, 0.4632675051689148, 0.5124264359474182, 0.7190995216369629, 0.6022925972938538, 0.4439866542816162, 0.3510369062423706, 0.46614477038383484, 0.35882309079170227, 0.7876018285751343, 0.3690595030784607, 0.3599531352519989, 0.43884745240211487, 0.8076953887939453, 0.3869324326515198, 0.44041508436203003, 0.3978712260723114, 0.45058688521385193, 0.36470112204551697, 0.5111774206161499, 0.46222802996635437, 0.3141862750053406, 0.5024898052215576, 0.6127463579177856, 0.37118905782699585, 0.5230759382247925, 0.5305312275886536]",0.4724990427494049,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/10cc - Rubber Bullets.mp3,3.3910393714904785
"[0.8889418840408325, 0.2993179261684418, 0.8165507316589355, 0.3052305281162262, 0.7084694504737854, 0.8916568756103516, 0.2549181878566742, 0.5971380472183228, 0.5008199214935303, 0.40847742557525635, 0.8747938871383667, 0.5022099018096924, 0.33480513095855713, 0.400838166475296, 0.3733402192592621, 0.47872674465179443, 0.5711585283279419, 0.6495227813720703, 0.9519703984260559, 0.3608987033367157, 0.9082922339439392, 0.33631840348243713, 0.5498418807983398, 0.6972962021827698, 0.9246586561203003, 0.5821272730827332, 0.4462960958480835, 0.4803815186023712, 0.3738640546798706, 0.2729235887527466, 0.8363354802131653, 0.2237744778394699, 0.6497474908828735, 0.7477115392684937, 0.2933763265609741, 0.7458765506744385, 0.3948565721511841, 0.36503222584724426, 0.9676413536071777, 0.3303146958351135, 0.3896544873714447, 0.49024498462677, 0.6141489148139954, 0.5996007323265076, 0.3845258951187134, 0.44325369596481323, 0.4352855980396271, 0.4783370792865753, 0.5803661942481995, 0.48904183506965637, 0.7325275540351868, 0.3717057406902313, 0.4869450628757477, 0.598527729511261, 0.6822372674942017, 0.42506301403045654, 0.5664915442466736, 0.3348594307899475, 0.37639835476875305, 0.4302564561367035, 0.38263341784477234, 0.3784179091453552, 0.43430402874946594, 0.20478059351444244, 0.36002352833747864, 0.4906984269618988, 0.26403504610061646, 0.6297710537910461, 0.5432385206222534, 0.7560021281242371, 0.5373599529266357, 0.354378342628479, 0.3075021803379059, 0.5767598152160645, 0.40941840410232544, 0.38007134199142456, 0.4091726243495941, 0.30705344676971436, 0.4668824076652527, 0.39197203516960144, 0.6283891797065735, 0.3580600917339325, 0.42420080304145813, 0.47302982211112976, 0.4869941174983978, 0.3979119658470154, 0.3446952700614929, 0.5739054679870605, 0.35570138692855835, 0.3299003839492798, 0.3563598096370697, 0.4170617461204529, 0.33949142694473267, 0.33696866035461426, 0.48432284593582153, 0.42998477816581726, 0.6331918835639954, 0.7679498195648193, 0.39789167046546936, 0.5195621848106384, 0.5443490743637085, 0.24942192435264587, 0.5827493071556091, 0.7204596400260925, 0.363844633102417, 0.6491464972496033, 0.3781500458717346, 0.3999222218990326, 0.38155972957611084, 0.49084529280662537, 0.736781656742096, 0.511638343334198, 0.3114646375179291, 0.5499294996261597, 0.5686847567558289, 0.4190082848072052, 0.4958881139755249, 0.9903156757354736, 0.22803035378456116, 0.44134023785591125, 0.37384167313575745, 0.815053403377533, 0.5220217108726501, 0.698474109172821, 0.845464825630188, 0.4373502731323242, 0.49939683079719543, 0.28609222173690796]",0.5486928224563599,/media/andrius/FastBoi/bakis_data/top10000_meta_22k2/10cc - The Things We Do For Love.mp3,3.3910393714904785
