,idx,accuracy,accuracy_top5,num_samples,file_name
2018,8268,0.9775280898876404,0.9775280898876404,89,/media/andrius/FastBoi/bakis_data/final22k/train/The Offspring - Gone Away.mp3
2019,7912,0.9552238805970149,0.9850746268656716,67,/media/andrius/FastBoi/bakis_data/final22k/train/The Fabulous Thunderbirds - Tuff Enuff.mp3
2020,3099,0.9850746268656716,1.0,67,/media/andrius/FastBoi/bakis_data/final22k/train/Gipsy Kings - Bamboleo.mp3
2021,4452,0.9541984732824428,1.0,131,/media/andrius/FastBoi/bakis_data/final22k/train/Led Zeppelin - Ten Years Gone - Remaster.mp3
2022,2034,1.0,1.0,100,/media/andrius/FastBoi/bakis_data/final22k/train/Deftones - Be Quiet and Drive (Far Away).mp3
2023,8527,1.0,1.0,67,/media/andrius/FastBoi/bakis_data/final22k/train/The Smiths - Still Ill - 2011 Remaster.mp3
2024,5145,0.8611111111111112,0.9583333333333334,72,/media/andrius/FastBoi/bakis_data/final22k/train/Michael Jackson - She's Out of My Life - Single Version.mp3
2025,6957,0.8961038961038961,0.974025974025974,385,/media/andrius/FastBoi/bakis_data/final22k/train/Soft Machine - Moon In June.mp3
2026,5122,0.9896907216494846,0.9896907216494846,97,/media/andrius/FastBoi/bakis_data/final22k/train/Metronomy - The Bay.mp3
2027,4737,0.9682539682539683,0.9682539682539683,63,/media/andrius/FastBoi/bakis_data/final22k/train/Lowell Fulson - Reconsider Baby - Single Version.mp3
2028,8464,1.0,1.0,71,/media/andrius/FastBoi/bakis_data/final22k/train/The Saints - I'm Stranded.mp3
2029,7594,1.0,1.0,52,/media/andrius/FastBoi/bakis_data/final22k/train/The Beatles - She Said She Said - Remastered.mp3
2030,8457,0.9887640449438202,0.9887640449438202,89,"/media/andrius/FastBoi/bakis_data/final22k/train/The Roots, Cody Chesnutt - The Seed (2.0).mp3"
2031,2348,0.9765625,0.984375,128,/media/andrius/FastBoi/bakis_data/final22k/train/Eagles - Lyin' Eyes.mp3
2032,5836,0.9506172839506173,0.9753086419753086,81,/media/andrius/FastBoi/bakis_data/final22k/train/Paul Weller - The Changingman.mp3
2033,8482,0.9818181818181818,1.0,55,/media/andrius/FastBoi/bakis_data/final22k/train/The Shangri-Las - Out In The Streets.mp3
2034,5636,0.9418604651162791,0.9767441860465116,86,/media/andrius/FastBoi/bakis_data/final22k/train/Oasis - Wonderwall.mp3
2035,7389,0.9880952380952381,0.9940476190476191,168,/media/andrius/FastBoi/bakis_data/final22k/train/Ted Nugent - Stranglehold.mp3
2036,6325,0.9607843137254902,0.9803921568627451,51,"/media/andrius/FastBoi/bakis_data/final22k/train/Ray Charles - Hallelujah, I Love Her So.mp3"
2037,4763,1.0,1.0,64,/media/andrius/FastBoi/bakis_data/final22k/train/Lush - Ladykillers.mp3
