,idx,accuracy,accuracy_top5,num_samples,file_name
0,3802,0.9811320754716981,1.0,53,-1
1,4471,0.9856459330143541,1.0,209,-1
2,2403,0.8024691358024691,0.9259259259259259,81,-1
3,8089,1.0,1.0,33,-1
4,18,0.7435897435897436,0.8717948717948718,78,-1
5,2378,0.8604651162790697,0.9302325581395349,86,-1
6,7235,0.9607843137254902,0.9803921568627451,51,-1
7,2661,0.8705357142857143,0.9866071428571429,224,-1
8,1616,0.7457627118644068,0.9491525423728814,59,-1
9,1486,0.9779005524861878,0.988950276243094,181,-1
10,4962,0.9536423841059603,0.9801324503311258,151,-1
11,6566,0.7681159420289855,0.9082125603864735,414,-1
12,3213,0.9117647058823529,0.9607843137254902,102,-1
13,6583,1.0,1.0,169,-1
14,7800,0.9615384615384616,0.9807692307692307,52,-1
15,640,0.9327731092436975,0.9915966386554622,119,-1
16,7922,0.9846153846153847,0.9923076923076923,130,-1
17,8373,0.8909090909090909,0.9454545454545454,55,-1
18,1644,0.972972972972973,0.9864864864864865,74,-1
19,6612,0.7624309392265194,0.9005524861878453,181,-1
20,3817,0.8368794326241135,0.950354609929078,141,-1
21,419,0.9567901234567902,0.9753086419753086,162,-1
22,7951,0.9545454545454546,1.0,66,-1
23,1356,0.9375,0.984375,64,-1
24,8207,0.9818181818181818,1.0,55,-1
25,961,0.8873239436619719,0.9295774647887324,71,-1
26,622,0.9565217391304348,0.9855072463768116,69,-1
27,3139,0.9457364341085271,0.9767441860465116,129,-1
28,578,0.8305084745762712,0.9322033898305084,59,-1
29,8902,0.9714285714285714,1.0,70,-1
30,1672,0.9438202247191011,0.9887640449438202,89,-1
31,8184,0.8974358974358975,0.9743589743589743,78,-1
32,1807,0.9324324324324325,0.972972972972973,74,-1
33,4102,0.9545454545454546,0.9696969696969697,66,-1
34,6766,0.9120879120879121,0.9340659340659341,91,-1
35,709,0.8473684210526315,0.9210526315789473,190,-1
36,7347,0.972972972972973,0.990990990990991,111,-1
37,5272,0.8952380952380953,0.9714285714285714,105,-1
38,1073,0.9649122807017544,1.0,57,-1
39,688,0.8076923076923077,0.9230769230769231,78,-1
40,759,0.75,0.921875,64,-1
41,2955,0.9946808510638298,1.0,188,-1
42,7769,0.9333333333333333,0.9666666666666667,90,-1
43,3734,0.9285714285714286,1.0,56,-1
44,227,0.912,0.968,125,-1
45,1256,0.8831168831168831,0.987012987012987,77,-1
46,2797,0.94,0.97,100,-1
47,456,0.9722222222222222,1.0,108,-1
48,4002,0.963855421686747,0.9879518072289156,83,-1
49,1811,0.9491525423728814,1.0,59,-1
50,3360,0.8873239436619719,0.9507042253521126,142,-1
51,6110,0.948051948051948,1.0,77,-1
52,5718,0.847457627118644,0.8813559322033898,59,-1
53,5677,0.9797979797979798,1.0,99,-1
54,7782,0.9333333333333333,0.9777777777777777,90,-1
55,6915,0.8032786885245902,0.9344262295081968,61,-1
56,4811,0.9518072289156626,1.0,83,-1
57,8439,0.9594594594594594,1.0,74,-1
58,3855,0.9686684073107049,1.0,383,-1
59,4859,0.9761904761904762,0.9880952380952381,84,-1
60,1188,0.9454545454545454,0.990909090909091,110,-1
61,9173,0.8082191780821918,0.9178082191780822,73,-1
62,2218,0.8467153284671532,0.9051094890510949,137,-1
